idx,dist,x0,x1
-1,0,0.7058,0.734597
837642,0.000153101,0.705881,0.734727
63338,0.000177668,0.70596,0.734675
587780,0.000190742,0.705933,0.734734
638052,0.000207198,0.705698,0.734777
1859487,0.000276695,0.7059,0.734855
1300869,0.000276979,0.705688,0.73485
1989192,0.000286924,0.706017,0.734785
510348,0.000314796,0.705488,0.734558
1451290,0.000317716,0.70558,0.734368
922994,0.000324089,0.706065,0.734784
1732451,0.000376052,0.706175,0.734564
880488,0.000377932,0.705503,0.73483
1982597,0.000402004,0.706166,0.734764
668803,0.000404645,0.706193,0.734695
182701,0.000429156,0.705799,0.735026
606048,0.00043366,0.705381,0.734707
939794,0.000438953,0.705809,0.734158
1365845,0.000457209,0.705477,0.73492
107411,0.000459367,0.706198,0.734827
1240175,0.000491509,0.706282,0.734695
1378235,0.000495641,0.705315,0.734697
364727,0.000497148,0.706122,0.734976
103345,0.000499344,0.706192,0.734287
1656161,0.000500471,0.706031,0.735041
54725,0.000503583,0.705415,0.734921
389811,0.000519188,0.705304,0.734749
850091,0.000533243,0.705271,0.734533
1818340,0.000533667,0.706108,0.735033
1401913,0.000543779,0.705536,0.735072
1340285,0.000558456,0.706184,0.734191
1023178,0.000565173,0.705363,0.734239
803161,0.00057383,0.705463,0.735061
1532680,0.000582815,0.70601,0.734053
578402,0.000583199,0.70529,0.734879
1435147,0.000616863,0.70558,0.735173
1353179,0.000619033,0.705469,0.734074
1818341,0.000620379,0.705368,0.734152
1969371,0.000622307,0.705484,0.734061
880720,0.000633707,0.705506,0.735158
473835,0.000635957,0.705553,0.734011
395311,0.000670357,0.706384,0.734267
1267486,0.000678896,0.70641,0.734298
1610491,0.00067896,0.705946,0.73526
838480,0.000687256,0.706482,0.734685
580400,0.000688278,0.706436,0.734861
382312,0.000699045,0.706354,0.73417
287171,0.00070404,0.705357,0.73405
614912,0.000708757,0.706318,0.735081
870401,0.000722726,0.705201,0.734193
1882753,0.000728219,0.706339,0.735087
1744833,0.000731885,0.706532,0.734576
872934,0.000731888,0.705299,0.73513
166061,0.000734827,0.706175,0.735229
971615,0.000739101,0.705242,0.735081
1280614,0.000742987,0.705921,0.73533
749560,0.000750711,0.705179,0.735018
1860674,0.000754083,0.706458,0.734966
1166385,0.000758232,0.705101,0.734304
607667,0.000763849,0.705051,0.734449
1515780,0.000776249,0.705933,0.733832
1136680,0.000779497,0.706524,0.734307
27281,0.00078077,0.706154,0.735293
123813,0.000781648,0.706385,0.734078
1300498,0.000787845,0.705174,0.734119
1025136,0.000808305,0.706527,0.734951
1203067,0.000816258,0.704988,0.734676
466804,0.000820019,0.705721,0.735413
1503596,0.00082391,0.706607,0.734765
791784,0.000830198,0.705794,0.735427
1793498,0.000835287,0.705318,0.733915
702130,0.000841793,0.705665,0.733766
1542630,0.000843025,0.706624,0.734777
643865,0.000843111,0.706632,0.734458
199991,0.000864845,0.704948,0.734743
732089,0.000884325,0.705169,0.735216
1812712,0.000887181,0.706214,0.733812
1396121,0.000928167,0.705798,0.735525
621190,0.000929186,0.705932,0.733677
1543198,0.000939064,0.704965,0.734168
874583,0.000947463,0.705353,0.735432
521670,0.000963333,0.706743,0.734398
1488936,0.000975181,0.705154,0.735327
1330408,0.000975329,0.70582,0.735572
1306992,0.000987508,0.706443,0.733847
1432353,0.0010008,0.706727,0.734975
112736,0.00100249,0.70506,0.733921
916992,0.00100825,0.705145,0.735363
484188,0.00101207,0.70572,0.733588
929212,0.0010181,0.705066,0.735302
1685822,0.00102216,0.706178,0.733647
1401572,0.00102304,0.706531,0.735313
721498,0.00102356,0.70665,0.734026
1312470,0.00102483,0.70599,0.735604
189988,0.00102523,0.704803,0.734834
467321,0.00102872,0.706728,0.734152
1606067,0.00103379,0.706121,0.733614
1244548,0.00103426,0.706315,0.735494
801365,0.00103669,0.704834,0.734972
435836,0.00104253,0.706841,0.734533
578410,0.00104711,0.70504,0.733877
